tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.2580 3.0010 0.0000 5.1418 0.0000 1.0559 21.9060 0.0000 38.7174 0.1298 44.4850 164.6991 0.0000 4.5046 3000.0000 0.0000 3000.0000
0.2600 3.0451 0.0000 5.2198 0.0000 1.0561 22.0603 0.0000 39.0084 0.1307 44.8143 164.6380 0.0000 4.4988 3000.0000 0.0000 3000.0000
0.2620 3.0896 0.0000 5.2984 0.0000 1.0563 22.2145 0.0000 39.2994 0.1317 45.1434 164.5768 0.0000 4.4931 3000.0000 0.0000 3000.0000
0.2640 3.1343 0.0000 5.3775 0.0000 1.0565 22.3686 0.0000 39.5902 0.1327 45.4724 164.5156 0.0000 4.4872 3000.0000 0.0000 3000.0000
0.2660 3.1794 0.0000 5.4573 0.0000 1.0567 22.5226 0.0000 39.8810 0.1336 45.8014 164.4543 0.0000 4.4813 3000.0000 0.0000 3000.0000
0.2680 3.2247 0.0000 5.5377 0.0000 1.0569 22.6765 0.0000 40.1717 0.1346 46.1301 164.3930 0.0000 4.4752 3000.0000 0.0000 3000.0000
0.2700 3.2704 0.0000 5.6186 0.0000 1.0571 22.8303 0.0000 40.4623 0.1356 46.4588 164.3317 0.0000 4.4692 3000.0000 0.0000 3000.0000
0.2720 3.3163 0.0000 5.7001 0.0000 1.0573 22.9840 0.0000 40.7528 0.1365 46.7873 164.2703 0.0000 4.4630 3000.0000 0.0000 3000.0000
0.2740 3.3626 0.0000 5.7822 0.0000 1.0575 23.1375 0.0000 41.0433 0.1375 47.1158 164.2088 0.0000 4.4568 3000.0000 0.0000 3000.0000
0.2760 3.4092 0.0000 5.8648 0.0000 1.0577 23.2910 0.0000 41.3336 0.1385 47.4441 164.1474 0.0000 4.4505 3000.0000 0.0000 3000.0000
0.2780 3.4561 0.0000 5.9481 0.0000 1.0578 23.4444 0.0000 41.6239 0.1394 47.7722 164.0859 0.0000 4.4442 3000.0000 0.0000 3000.0000
0.2800 3.5033 0.0000 6.0319 0.0000 1.0580 23.5976 0.0000 41.9141 0.1404 48.1003 164.0243 0.0000 4.4377 3000.0000 0.0000 3000.0000
0.2820 3.5508 0.0000 6.1163 0.0000 1.0582 23.7508 0.0000 42.2042 0.1414 48.4282 163.9627 0.0000 4.4312 3000.0000 0.0000 3000.0000
0.2840 3.5986 0.0000 6.2013 0.0000 1.0584 23.9038 0.0000 42.4942 0.1423 48.7560 163.9011 0.0000 4.4247 3000.0000 0.0000 3000.0000
0.2860 3.6467 0.0000 6.2869 0.0000 1.0586 24.0568 0.0000 42.7841 0.1433 49.0837 163.8394 0.0000 4.4180 3000.0000 0.0000 3000.0000
0.2880 3.6951 0.0000 6.3730 0.0000 1.0588 24.2096 0.0000 43.0739 0.1442 49.4112 163.7777 0.0000 4.4113 3000.0000 0.0000 3000.0000
0.2900 3.7438 0.0000 6.4598 0.0000 1.0589 24.3624 0.0000 43.3637 0.1452 49.7387 163.7159 0.0000 4.4045 3000.0000 0.0000 3000.0000
0.2920 3.7929 0.0000 6.5471 0.0000 1.0591 24.5150 0.0000 43.6534 0.1462 50.0660 163.6541 0.0000 4.3977 3000.0000 0.0000 3000.0000
0.2940 3.8422 0.0000 6.6349 0.0000 1.0593 24.6676 0.0000 43.9429 0.1471 50.3932 163.5923 0.0000 4.3908 3000.0000 0.0000 3000.0000
0.2960 3.8918 0.0000 6.7234 0.0000 1.0595 24.8200 0.0000 44.2324 0.1481 50.7202 163.5304 0.0000 4.3838 3000.0000 0.0000 3000.0000
0.2980 3.9418 0.0000 6.8125 0.0000 1.0596 24.9724 0.0000 44.5218 0.1491 51.0472 163.4685 0.0000 4.3767 3000.0000 0.0000 3000.0000
0.3000 3.9920 0.0000 6.9021 0.0000 1.0598 25.1246 0.0000 44.8111 0.1500 51.3740 163.4065 0.0000 4.3696 3000.0000 0.0000 3000.0000
0.3020 4.0426 0.0000 6.9923 0.0000 1.0600 25.2768 0.0000 45.1004 0.1510 51.7007 163.3445 0.0000 4.3624 3000.0000 0.0000 3000.0000
0.3040 4.0935 0.0000 7.0831 0.0000 1.0601 25.4289 0.0000 45.3895 0.1519 52.0272 163.2825 0.0000 4.3551 3000.0000 0.0000 3000.0000
0.3060 4.1446 0.0000 7.1744 0.0000 1.0603 25.5808 0.0000 45.6785 0.1529 52.3537 163.2204 0.0000 4.3478 3000.0000 0.0000 3000.0000
0.3080 4.1961 0.0000 7.2663 0.0000 1.0605 25.7327 0.0000 45.9675 0.1539 52.6800 163.1582 0.0000 4.3404 3000.0000 0.0000 3000.0000
0.3100 4.2478 0.0000 7.3589 0.0000 1.0606 25.8845 0.0000 46.2564 0.1548 53.0062 163.0960 0.0000 4.3330 3000.0000 0.0000 3000.0000
0.3120 4.2999 0.0000 7.4520 0.0000 1.0608 26.0362 0.0000 46.5451 0.1558 53.3323 163.0338 0.0000 4.3254 3000.0000 0.0000 3000.0000
0.3140 4.3523 0.0000 7.5456 0.0000 1.0609 26.1877 0.0000 46.8338 0.1567 53.6582 162.9715 0.0000 4.3178 3000.0000 0.0000 3000.0000
